US-State|URL|Title|Location|AskPrice|CashFlow|GrossRevenue|EBITDA|FF&E|Inventory|Rent|RealEstate|Established|Inventory-2|RealEstate-2|BuildingSF|LeaseExpiration|Employees|FurnitureFixturesAndEquipment|Facilities|GrowthAndExpansion|Financing|SupportAndTraining|ReasonForSelling
Vermont|https://www.bizbuysell.com//Business-Opportunity/Niche-Staffing-Agency/1743633/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmMyUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Niche Staffing Agency|Birmingham, AL (Jefferson County) (Relocatable)|$5,000,000|N/A|$4,242,826|$687,425|N/A|N/A|||N/A|||||||||||
Vermont|https://www.bizbuysell.com//Business-Opportunity/Travel-business-to-bring-people-to-your-city-Birmingham/1743443/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmMyUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Travel business to bring people to your city! Birmingham|Birmingham, AL (Jefferson County)|$50,000|N/A|N/A|N/A|N/A|N/A|||N/A||||||||||Full training and on going support|expanding their market
Vermont|https://www.bizbuysell.com//Business-Opportunity/Medicare-Certified-Home-Health-Agency-in-Alabama-CON-State/1743318/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmMyUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Medicare Certified Home Health Agency in Alabama (CON State)|Vance, AL (Tuscaloosa County)|$3,000,000|N/A|$3,000,000|$600,000|$90,000|$75,000*|||2007|Not included in asking price||||15|Included in asking price|||||retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Anytime-Fitness-Vestavia-Hills-AL/1742991/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmMyUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Anytime Fitness Vestavia Hills, AL|Vestavia, AL (Jefferson County)|$150,000|N/A|N/A|N/A|N/A|N/A|||2010|||||3 CTPT||"Club Opened: September 2010
Enhancement due date: 1 year from the date of purchase \ 30- Day fix-it items 
Club management system: Buyer will be required to sign a service agreement 
Personal training suite: Buyer will be required to sign a service agreement 
Rent:
$4,487.50 Base 
$1,455.00 NNN
$5,942.50 Total"|Anytime Fitness is the fastest-growing gym franchise in the world, with 4,721 gyms serving 3,000,000 members on seven continents. Open 24 hours a day, 365 days a year, Anytime Fitness prides itself on providing its members with convenient fitness options and friendly, personal service in well-maintained facilities which feature top-quality exercise equipment. Gyms are now open in all 50 states, Canada, Mexico, Australia, New Zealand, England, Scotland, The Republic of Ireland, Wales, Grand Cayman, the Netherlands, Spain, Qatar, India, Bahrain, Colombia, Indonesia, Morocco, Northern Ireland, South Korea, Japan, Singapore, Malaysia, Hong Kong, China, Taiwan, Belgium, Italy, Sweden and the Philippines.||Please respect the privacy and confidentiality interests of the owner and assume that employees and members do not know the club is for sale. Please do not contact the club directly.|Pursuing other business interests
Vermont|https://www.bizbuysell.com//Business-Opportunity/Profitable-Window-cleaning-Business/1722618/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmMyUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Profitable Window cleaning Business|AL|$599,900|N/A|N/A|N/A|N/A|N/A|||2002|||||7|||Establish business with 18+ years of excellent service to it market||As needed|retireing
Vermont|https://www.bizbuysell.com//Business-Opportunity/Steak-and-Sushi-Restaurant/1742704/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Steak and Sushi Restaurant|Mobile, AL (Mobile County)|$155,000|N/A|$215,540|N/A|N/A|N/A|||2019|||||4||||75000.00|4 weeks|retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/131-Bed-Assisted-Living-Facility/1742538/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|131 Bed Assisted Living Facility|AL|$9,900,000|$563,575|N/A|N/A|N/A|N/A||N/A|N/A|Included in asking price|Owned|N/A||||||||
Vermont|https://www.bizbuysell.com//Business-Opportunity/Retail-Firearms-And-Gun-Range/1742030/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Retail Firearms And Gun Range|Madison County, AL|$750,000|$89,487|$1,193,315|N/A|$82,457|$250,000|||2013|Included in asking price||||23|Included in asking price|2,000 sq ft. shop with a 10,000 sq ft. range. Available for lease at $5,500/Month.|Add Sales Staff, Advertise, Add New Product Lines|Available for lease|Owner will train the buyer for 4 weeks at no cost.|Personal Reasons
Vermont|https://www.bizbuysell.com//Business-Opportunity/Mediterranean-Restaurant/1737169/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Mediterranean Restaurant|AL|$300,000|$197,680|$856,750|N/A|$50,000|$5,000|||2003|Included in asking price||||10|Included in asking price|3000 sqft|High growth area, near two universities and one community college.||Support and Training Available.|Relocation
Vermont|https://www.bizbuysell.com//Business-Opportunity/Established-Boot-Dealership-Alabama-Location/1739020/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Established Boot Dealership - Alabama Location|AL|$250,000|N/A|$390,380|N/A|$90,000|$110,000|$4,164 /Month||N/A|Included in asking price|Leased|1,475|N/A|3|Included in asking price|The business operates out of a 1,475 sq. ft. space located in a small strip mall along one of the busiest roads in the city which sees ~70k vehicles a day pass.|Invest & staff a Mobility Vehicle - Shoe Van/Store, Create and Grow Social Media Presence, Increase Community involvement with BNI, Chamber, Business Networking||4 weeks|retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Automatic-Wax-and-Polishing/1740787/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Automatic Wax & Polishing|Birmingham, AL (Jefferson County)|$199,000|$100,000|$150,000|N/A|N/A|N/A|$1,500 /Month||N/A||Leased|300|N/A|2||Automatic wax & polish machine.|||1~2 month,|Develop Franchise
Vermont|https://www.bizbuysell.com//Business-Opportunity/100-Bank-approved-gas-station-with-real-estate/1685564/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|100% Bank approved gas station with real estate|Gadsden, AL (Etowah County)|$550,000|$144|N/A|N/A|N/A|$45*||$450|2016|Not included in asking price|Owned|1,800||2|||Deli||2-4 weeks|Absentee
Vermont|https://www.bizbuysell.com//Business-Opportunity/Money-Making-Dry-cleaners-Birmingham-AL-with-2-pickups/1740262/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Money-Making Dry cleaners Birmingham AL. with 2 pickups|Birmingham, AL (Jefferson County)|$570,000|N/A|$630,000|N/A|N/A|N/A|||N/A||||||||||2 weeks after the closing.|other interest.
Vermont|https://www.bizbuysell.com//Business-Opportunity/Established-Dry-Cleaning-Plant-with-2-Drop-Stores/1740128/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Established Dry Cleaning Plant with 2 Drop Stores|Jefferson County, AL|$600,000|$180,000|$601,494|N/A|N/A|N/A|$4,385.79 /Month||2007||Leased|2,300|9/30/2023|7|||||2 weeks|Other Business intrest
Vermont|https://www.bizbuysell.com//Business-Opportunity/Pizza-Franchise-for-Sale-in-Mobile-Alabama-with-Owner-Earnings-of-94/1713488/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Pizza Franchise for Sale in Mobile Alabama with Owner Earnings of $94,|Mobile, AL (Mobile County)|$259,000|$89,681|$783,579|N/A|N/A|N/A|$3,794 /Month||2007||Leased|1,400|N/A|12||Walk in cooler with compressor and fan motor  Middby Marshall double wide oven 72  track conveyor oven  Stainless steel hood and makeup air ventilation system  Pepsi cooler 36  single door  8 nozzle Pepsi fountain drink dispenser  Hoshizaki ice machine 400lb  capacity  Buffalo Rock tea brewer with tea urn 2 3 gallon  Diced vegetable chopper  5 Stainless steel hand wash sinks with splash guards  2 ceramic sinks in restrooms  2 ceramic toilets in restrooms  3 compartment sink  4 four seat booth  1 two seat booth  1 six seat booth  2 30  flat screen TV Insignia  Wooden trash can holder in lobby  Hobard dough mixer with 60 qt bowl  Cadeo portable stove burner  Electric dough sheeter  3 32 oz  scales  Curtron wind curtain  5 Hungry Howie s delivery signs  15 delivery bags  7 Revention R3310 computer stations  8 Logitech K120 keyboard and mouse combo  1 LC8710 Bematech KDS kitchen display system  1 Dell 20  monitor  1 set Logitech speakers  1 Bematech bumper bar  Digimerge Digitouch 16 port DVR camera system  8 Bullet cameras  3 FD 130 credit card terminals - First Data  15  monitor display for camera systems  4 Smart Power voltage regulated surge protectors  1 Smart Power battery backup QC0010   Netgear 16 port 1000mbps gigabit switch  1 Dell Sonic Wall  1 Trip Light battery backup  Brother Office Report Printer  5 Epson TM-T88V-I receipt printers  2 metal cash drawers|untapped catering  also   knowing these stores have been operating with an absentee owner  a new owner would be able to boost sales  and open more stores   Owner lives out of state and has been for the last 4 years||3 weeks unless operator currently has trainin 2 weeks manager or owner training|Relocation
Vermont|https://www.bizbuysell.com//Business-Opportunity/Nutrition-Vitamins-Weight-Loss-and-Supplements-Business-for-Sale-Tw/1738447/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Nutrition, Vitamins, Weight Loss and Supplements Business for Sale, Tw|Mobile, AL (Mobile County)|$550,000|$250,000|$700,000|N/A|$20,000|N/A|$4,950 /Month||2016||Leased|1,600|N/A|7|Included in asking price||||30 days support and training|Other business interests
Vermont|https://www.bizbuysell.com//Business-Opportunity/Mechanical-Contractor-Gulf-Coast/1738421/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Mechanical Contractor - Gulf Coast|Daphne, AL (Baldwin County)|$2,750,000|$1,500,000|$8,758,887|N/A|$150,000|$500,000|$3,500 /Month||1985|Included in asking price|Leased|12,000|N/A|40|Included in asking price|12,000 SF on 2.77 acres|The service department is new and should add to the profits.||Seller will stay for up to two years with an employment agreement.|Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Diesel-Repair-Shop-For-Sale-Motivated-Seller/1738434/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Diesel Repair Shop For Sale (Motivated Seller)|AL|$697,500|$115,000|$605,000|N/A|N/A|$106,000|||1994|Included in asking price||||3||Mechanic shop with 7 bays for large diesel trucks. located on one acre.|A new owner could add more clients to their all ready existing client base and further improve sales and earnings||6 weeks|other interests
Vermont|https://www.bizbuysell.com//Business-Opportunity/1-57-M-Allstate-Agency-in-Hoover-AL-DA/1736984/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|$1.57 M Allstate Agency in Hoover AL. (DA)|Hoover, AL (Jefferson County)|$480,000|N/A|N/A|N/A|N/A|N/A|||N/A|||||||||||
Vermont|https://www.bizbuysell.com//Business-Opportunity/Well-Known-Profitable-Food-Manufacturer/1736859/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Well Known, Profitable Food Manufacturer|Mobile, AL (Mobile County)|$475,000|$108,000|$933,446|$119,586|$100,000|N/A||$1,250,000*|1940||Owned|19,000|||Included in asking price|||Some seller financing available||Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Convenience-Store-selling-with-NO-GOOD-WILL/1736579/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Convenience Store selling with NO GOOD WILL!!!!!|Madison, AL (Madison County)|$40,000|N/A|N/A|N/A|N/A|$40,000|$1,500 /Month||2017|Included in asking price|Leased|2,800|N/A|2 FT||Building- 2,800 Sq. Ft. (includes 850 Sq Ft of open space - perfect for Deli operation)|Growth by owner operation (hands on)||Yes, as needed|Moving out of state
Vermont|https://www.bizbuysell.com//Business-Opportunity/Single-family-Gas-station-Low-budget/1736410/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Single family Gas station. Low budget.|Calera, AL (Shelby County)|$35,000|N/A|N/A|N/A|N/A|N/A|||N/A|||||2||Easy in and out from a very busy highway. There is significant increase new businesses coming in the area. Big residential and commercial traffic.|Hot food is very well needed. Check cashing and liquor store can add extra income.||2 Week.|Moving.
Vermont|https://www.bizbuysell.com//Business-Opportunity/Iron-and-Metal-Fabrication-Business-For-Sale/1735844/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Iron and Metal Fabrication Business For Sale!|Birmingham, AL (Jefferson County)|$220,000|$130,000|$500,000|N/A|$90,000|$20,000||$205,000*|1957|Included in asking price|Owned|N/A||7|Included in asking price|Two buildings with fabrication shop and blacksmith forging shop||Negotiable|Willing to do what's reasonable for a smooth transition|Other business interest
Vermont|https://www.bizbuysell.com//Business-Opportunity/Commercial-HVAC-Contractor/1734864/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Commercial HVAC Contractor|AL|$4,250,000|$1,500,000|$6,700,000|N/A|$440,000|$45,000||$2,060,000*|1985|Included in asking price|Owned|28,000||40|Included in asking price|"Fabrication Shop – 	8,300 sq ft
Warehouse – 	12,000 sq ft
	Offices – 	5,700 sq ft
	Out building – 	2,000 sq ft
        Shell space open for lease – 	4,500 sq ft
	Total building 	32,500 sq ft"|||Available|Other interests
Vermont|https://www.bizbuysell.com//Business-Opportunity/Reputable-Custom-Auto-Detailer/1611416/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Reputable Custom Auto Detailer|Mobile, AL (Mobile County)|$244,499|$99,027|$205,769|N/A|$40,000|$10,000|||2000|Included in asking price||||5|Included in asking price||"Opportunities to grow the business would include:
*Open 2 more additional days (only working M-TR currently)
* Room for Pricing Increases
* Expand existing Facebook, Create Instagram & YouTube Channel 
* Hire a Sales Rep
* Build a mobile detailing fleet to reach those customer at boat slips and at their home
* Expanding geographical reach all along the Gulf Coast
* Build on contracts with insurance companies, new/used car lots, rental car compa	nies, and marina’s for large commercial boats
* Start a power washing division to compliment the auto detailing
* Expand specialty service side of business"||52 weeks|family
Vermont|https://www.bizbuysell.com//Business-Opportunity/Chiropractic-Practice-for-Sale-in-Daphne-Alabama/1734513/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Chiropractic Practice for Sale in Daphne, Alabama|Daphne, AL (Baldwin County)|N/A|$130,468|N/A|N/A|N/A|N/A|||N/A|||||||||||
Vermont|https://www.bizbuysell.com//Business-Opportunity/Turn-Key-Commercial-Window-Cleaning-Franchise/1730608/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Turn Key!!Commercial Window Cleaning Franchise|Mobile, AL (Mobile County)|$295,000|N/A|N/A|N/A|N/A|$35,000|$475 /Month||2014|Included in asking price|Leased|450|N/A|7||||TBD|Franchisor training|life circumstances
Vermont|https://www.bizbuysell.com//Business-Opportunity/Helium-and-Balloon-Sales-With-Real-Estate/1734305/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Helium and Balloon Sales With Real Estate|Baldwin County, AL (Relocatable)|$710,000|$90,000|$166,000|N/A|$135,000|N/A||$450,000|1998|Included in asking price|Owned|2,400|||Included in asking price|Large metal building with nice heated and cooled office area. Plenty of room for storage and parking of vehicles.|||30 days support and Training|Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/113-Room-Name-Brand-Hotel-500-000-Renovation/1733686/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|113 Room Name Brand Hotel - $500,000 Renovation|Mobile, AL (Mobile County)|$3,100,000|$472,926|$1,050,000|N/A|N/A|N/A||N/A|1984||Owned|53,400||10||53,400 sq.ft. 3 floor facility on over 2 acres.  113 rooms including: nice pool area, new roof, new window units, new flat screen tv's, upgraded continental breakfast area, free Wi-Fi, conference room, laundry room and much more.|||Seller will negotiate a transition period|Downsizing
Vermont|https://www.bizbuysell.com//Business-Opportunity/Drive-Thru-Business-and-Real-Estate/1733233/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Drive Thru-Business & Real Estate|Dayton, AL (Marengo County)|$225,000|N/A|N/A|N/A|N/A|N/A||N/A|2014||Owned|2,300||||Building has had many updates. Several of the coolers are included in sale, inventory as well as 2 registers, POS system,  and security/surveillance system. Parking lot can hold up to 12 vehicles plus drive thru. Lot is fenced. (Home Based)||||Moving on to other business opportunities
Vermont|https://www.bizbuysell.com//Business-Opportunity/Profitable-Service-Firm-in-Specialized-Commercial-Equipment-and-Supplies/1733138/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Profitable Service Firm in Specialized Commercial Equipment & Supplies|Gulf Shores, AL (Baldwin County)|$860,000|$217,765|$625,182|N/A|$640,000|$31,444*|$1,800 /Month||N/A|Not included in asking price|Leased|3,500|N/A||Included in asking price|||||Retirement of Owner.
Vermont|https://www.bizbuysell.com//Business-Opportunity/Unique-Travel-Guide-Business-Opportunity/1732864/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Unique Travel Guide Business Opportunity!|Huntsville, AL (Madison County)|$50,000|N/A|N/A|N/A|N/A|N/A|||1967|||||||No set office||Financing Available|full training and on going support|
Vermont|https://www.bizbuysell.com//Business-Opportunity/Home-Cooking-with-a-Modern-Twist-Real-Estate-Included/1732869/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Home Cooking with a Modern Twist - Real Estate Included|Baldwin County, AL|$690,000|$144,060|$539,220|N/A|$50,000|$2,000||$400,000|2010|Included in asking price|Owned|1,850||11 FTE, 5 PTE|Included in asking price|1,850 sq. ft. space, seats 56|||Seller will negotiate a transition period|Ready for Family Time
Vermont|https://www.bizbuysell.com//Business-Opportunity/Well-Known-Fencing-Business-for-Sale/1731136/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Well Known Fencing Business for Sale!|Vinemont, AL (Cullman County)|$425,000|N/A|$645,000|N/A|$100,000|$20,000*||$100,000*|N/A|Not included in asking price|Owned|2,100||7|Included in asking price|The real estate is owned.  Owner willing to sell the real estate for an additional $100,000 or even consider renting.   Building is approximately 2100 sq feet.  Sits off a busy road.|Plenty of growth in expansion into other markets|negotiable|Willing to do what's reasonable for a smooth transition|Other business opportunities
Vermont|https://www.bizbuysell.com//Business-Opportunity/Established-Auto-Repair-Service-Center-for-sale/1730414/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Established Auto Repair Service Center for sale|Shelby County, AL|$425,000|$145,291|$1,175,073|N/A|N/A|N/A|$3,500 /Month||1970|Included in asking price|Leased|6,100|N/A|9 FTE, 1 PTE||6,100 sq. ft. leased space|||Seller will negotiate a transition period|Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Lawnmower-Repair-Business-and-Real-Estate-for-Sale/1730326/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Lawnmower Repair Business and Real Estate for Sale|Jefferson County, AL|$357,000|$10,000|$102,874|N/A|$55,000|$80,000||N/A|2016|Included in asking price|Owned|N/A||3|Included in asking price|The company and real estate was purchased by the seller in the middle of 2016. Revenues and margins have trended higher each year while earnings have fluctuated depending on how many employees they have needed during their peak season.|Additional capacity in the building to increase sales and earnings.||26 weeks|other interests
Vermont|https://www.bizbuysell.com//Business-Opportunity/Construction-Property-Management-Company-for-sale/1730423/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Construction Property Management Company for sale|Birmingham, AL (Jefferson County) (Relocatable)|$650,000|$322,000|$1,196,498|N/A|$5,000|N/A|$425 /Month||2016||Leased|500|N/A|1 FTE, 1 PTE|Included in asking price|500 sq. ft. leased. Relocatable anywhere in the state|||Seller will negotiate a transition period|Other Business Demands
Vermont|https://www.bizbuysell.com//Business-Opportunity/Popular-Tuscaloosa-Restaurant-and-Bar-for-sale/1730419/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Popular Tuscaloosa Restaurant & Bar for sale|Tuscaloosa, AL (Tuscaloosa County)|$195,000|N/A|$1,400,000|N/A|$195,000|N/A|$10,000 /Month||2015||Leased|8,000|N/A||Included in asking price|8,000 sq. ft. space, available or lease or purchase|||Seller will negotiate a transition period|Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Pharmacy-in-Alabama/1730124/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Pharmacy in Alabama|AL|$1,750,000|N/A|$5,400,000|N/A|N/A|$250,000|||N/A|Included in asking price||||||||||
Vermont|https://www.bizbuysell.com//Business-Opportunity/Specialty-Sporting-Goods-Retailer-with-Inventory-Included/1730411/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|Specialty Sporting Goods Retailer with Inventory Included|Birmingham, AL (Jefferson County)|$250,000|$107,207|$418,955|N/A|N/A|$88,300|$2,500 /Month||1994|Included in asking price|Leased|3,200|12/24/2022|1 FTE, 3 PTE||3,200 sq. ft. leased space|||Seller will negotiate a transition period|Retirement
Vermont|https://www.bizbuysell.com//Business-Opportunity/Profitable-Semi-Absentee-Owner-Business-Birmingham/1729817/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|"Profitable ""Semi-Absentee Owner"" Business - Birmingham"|Birmingham, AL (Jefferson County)|$129,900|$98,000|$174,000|N/A|N/A|N/A|||1987|||||1 F/T||Contact for detailed information about this business. (Home Based)|High demand allows for continual long-term growth of this business.|Third party financing is available.|Full training and support.|
Vermont|https://www.bizbuysell.com//Business-Opportunity/2-1M-Allstate-Agency-in-Auburn-Alabama-KP/1729866/?d=JTJmYWxhYmFtYS1idXNpbmVzc2VzLWZvci1zYWxlJTJmNCUyZiUzZnElM2RhWEk5TVNac2MzSmZjbXhpY0c0OU1TWnpjR2xrUFRFbWR6MXg=|$2.1M  Allstate Agency in Auburn Alabama (KP)|Auburn, AL (Lee County)|$510,000|N/A|$210,000|N/A|N/A|N/A|$1,500 /Month||1990|Included in asking price|Leased|1,000|7/1/2020|1|||||Allstate University, In Agency support from Agency Establishment and local Field Sales Leader.|Retiring after 28 years in the business.
